Scheme name	Locus tag	Description
cgMLST V1 + HierCC V1	CD630_11200(pflD)	"glycyl radical enzyme, PFL2/glycerol dehydratase"
cgMLST V1 + HierCC V1	CD630_11220(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_11230(-)	phosphoesterase
cgMLST V1 + HierCC V1	CD630_11240(-)	coenzyme PQQ synthesis D family protein
cgMLST V1 + HierCC V1	CD630_11241(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_11250(-)	nitroreductase
cgMLST V1 + HierCC V1	CD630_11260(-)	AraC family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_11270(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_11280(polA)	DNA polymerase I
cgMLST V1 + HierCC V1	CD630_11290(coaE)	dephospho-CoA kinase
cgMLST V1 + HierCC V1	CD630_11300(slt)	lytic transglycosylase
cgMLST V1 + HierCC V1	CD630_11310(-)	ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_11320(copZ)	heavy metal-associated domain protein
cgMLST V1 + HierCC V1	CD630_11330(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_11340(gloA)	lactoylglutathione lyase
cgMLST V1 + HierCC V1	CD630_11350(cwlA)	ligand-binding protein SH3
cgMLST V1 + HierCC V1	CD630_11360(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_11370(rnfC)	electron transport complex protein RnfC
cgMLST V1 + HierCC V1	CD630_11380(rnfD)	electron transport complex protein RnfD
cgMLST V1 + HierCC V1	CD630_11390(rnfG)	electron transport complex protein RnfG
cgMLST V1 + HierCC V1	CD630_11400(rnfE)	RnfABCDGE type electron transport complex subunit E
cgMLST V1 + HierCC V1	CD630_11410(rnfA)	"electron transport complex, RnfABCDGE type, A subunit"
cgMLST V1 + HierCC V1	CD630_11420(rnfB)	ferredoxin
cgMLST V1 + HierCC V1	CD630_11430(maf)	septum formation inhibitor Maf
cgMLST V1 + HierCC V1	CD630_11440(radC)	DNA repair protein RadC
cgMLST V1 + HierCC V1	CD630_11450(mreB2)	rod shape-determining protein
cgMLST V1 + HierCC V1	CD630_11460(mreC)	rod shape-determining protein MreC
cgMLST V1 + HierCC V1	CD630_11470(mreD)	rod shape-determining protein MreD
cgMLST V1 + HierCC V1	CD630_11480(mrdA)	penicillin-binding protein
cgMLST V1 + HierCC V1	CD630_11490(minC)	septum site-determining protein MinC
cgMLST V1 + HierCC V1	CD630_11500(minD)	septum site-determining protein MinD
cgMLST V1 + HierCC V1	CD630_11510(minE)	cell division topological specificity factor
cgMLST V1 + HierCC V1	CD630_11520(mrdB)	rod shape-determining protein RodA
cgMLST V1 + HierCC V1	CD630_11530(mgsA)	methylglyoxal synthase
cgMLST V1 + HierCC V1	CD630_11570(norV)	FprA family A-type flavoprotein
cgMLST V1 + HierCC V1	CD630_11580(-)	radical SAM superfamily protein
cgMLST V1 + HierCC V1	CD630_11590(-)	radical SAM protein
cgMLST V1 + HierCC V1	CD630_11600(rng)	ribonuclease G
cgMLST V1 + HierCC V1	CD630_11610(rplU)	50S ribosomal protein L21
cgMLST V1 + HierCC V1	CD630_11620(ysxB)	Putative ribosome-associated protein
cgMLST V1 + HierCC V1	CD630_11630(rpmA)	50S ribosomal protein L27
cgMLST V1 + HierCC V1	CD630_11640(obgE)	GTPase Obg
cgMLST V1 + HierCC V1	CD630_11650(yhbY)	RNA-binding protein
cgMLST V1 + HierCC V1	CD630_11660(hom1)	homoserine dehydrogenase
cgMLST V1 + HierCC V1	CD630_11670(-)	integrase
cgMLST V1 + HierCC V1	CD630_11680(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_11690(pdhR)	GntR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_11700(-)	lactate racemization operon protein LarA
cgMLST V1 + HierCC V1	CD630_11710(etfB)	electron transfer flavoprotein subunit beta
cgMLST V1 + HierCC V1	CD630_11720(etfA)	electron transfer flavoprotein subunit alpha
cgMLST V1 + HierCC V1	CD630_11730(glcD)	2-hydroxy-acid oxidase
cgMLST V1 + HierCC V1	CD630_11750(ackA)	acetate kinase
cgMLST V1 + HierCC V1	CD630_11760(-)	putative metal-binding protein
cgMLST V1 + HierCC V1	CD630_11761(rpmF)	50S ribosomal protein L32
cgMLST V1 + HierCC V1	CD630_11770(fapR)	transcription factor fapR
cgMLST V1 + HierCC V1	CD630_11780(plsX)	phosphate acyltransferase
cgMLST V1 + HierCC V1	CD630_11790(fabH)	3-oxoacyl-ACP synthase III
cgMLST V1 + HierCC V1	CD630_11800(fabK)	2-nitropropane dioxygenase
cgMLST V1 + HierCC V1	CD630_11810(fabD)	malonyl CoA-acyl carrier protein transacylase
cgMLST V1 + HierCC V1	CD630_11820(fabG)	beta-ketoacyl-ACP reductase
cgMLST V1 + HierCC V1	CD630_11840(fabF)	beta-ketoacyl-[acyl-carrier-protein] synthase II
cgMLST V1 + HierCC V1	CD630_11850(-)	diguanylate cyclase
cgMLST V1 + HierCC V1	CD630_11870(-)	TSCPD domain-containing protein
cgMLST V1 + HierCC V1	CD630_11880(-)	glutamine amidotransferase
cgMLST V1 + HierCC V1	CD630_11910(fbp)	"fructose 1,6-bisphosphatase"
cgMLST V1 + HierCC V1	CD630_11920(spoIIIAA)	stage III sporulation protein AA
cgMLST V1 + HierCC V1	CD630_11930(spoIIIAB)	stage III sporulation protein AB
cgMLST V1 + HierCC V1	CD630_11940(spoIIIAC)	stage III sporulation protein AC
cgMLST V1 + HierCC V1	CD630_11950(spoIIIAD)	stage III sporulation protein AD
cgMLST V1 + HierCC V1	CD630_11960(spoIIIAE)	stage III sporulation protein AE
cgMLST V1 + HierCC V1	CD630_11970(spoiIIIAF)	stage III sporulation AF family protein
cgMLST V1 + HierCC V1	CD630_11980(spoIIIAG)	stage III sporulation protein AG
cgMLST V1 + HierCC V1	CD630_12000(-)	alkaline-shock protein
cgMLST V1 + HierCC V1	CD630_12010(nusB)	transcription antitermination factor NusB
cgMLST V1 + HierCC V1	CD630_12020(gcp)	glycoprotease
cgMLST V1 + HierCC V1	CD630_12030(xseA)	exodeoxyribonuclease VII large subunit
cgMLST V1 + HierCC V1	CD630_12040(xseB)	exodeoxyribonuclease VII small subunit
cgMLST V1 + HierCC V1	CD630_12050(ispA)	farnesyl-diphosphate synthase
cgMLST V1 + HierCC V1	CD630_12060(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_12070(dxs)	1-deoxy-D-xylulose-5-phosphate synthase
cgMLST V1 + HierCC V1	CD630_12080(tlyA)	RNA methyltransferase
cgMLST V1 + HierCC V1	CD630_12090(recN)	DNA repair protein RecN
cgMLST V1 + HierCC V1	CD630_12100(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_12110(-)	acetyltransferase
cgMLST V1 + HierCC V1	CD630_12120(bltD)	spermidine acetyltransferase
cgMLST V1 + HierCC V1	CD630_12130(spoIVB)	peptidase S55
cgMLST V1 + HierCC V1	CD630_12140(spo0A)	sporulation transcription factor Spo0A
cgMLST V1 + HierCC V1	CD630_12150(-)	thiamin pyrophosphokinase
cgMLST V1 + HierCC V1	CD630_12160(-)	Protein of unknown function (DUF3186)
cgMLST V1 + HierCC V1	CD630_12170(-)	glycosyl transferase
cgMLST V1 + HierCC V1	CD630_12180(-)	glycosyl transferase
cgMLST V1 + HierCC V1	CD630_12190(-)	Protein of uncharacterised function (DUF3866)
cgMLST V1 + HierCC V1	CD630_12200(nudF)	ADP-ribose pyrophosphatase
cgMLST V1 + HierCC V1	CD630_12210(spoIIM)	membrane protein
cgMLST V1 + HierCC V1	CD630_12220(xerD)	phage integrase
cgMLST V1 + HierCC V1	CD630_12230(drm)	phosphopentomutase
cgMLST V1 + HierCC V1	CD630_12240(pupG)	purine-nucleoside phosphorylase
cgMLST V1 + HierCC V1	CD630_12250(pdp)	pyrimidine-nucleoside phosphorylase
cgMLST V1 + HierCC V1	CD630_12260(-)	aminodeoxychorismate lyase
cgMLST V1 + HierCC V1	CD630_12270(-)	O-methyltransferase
cgMLST V1 + HierCC V1	CD630_12280(-)	peptidase U32
cgMLST V1 + HierCC V1	CD630_12290(mrdA)	peptidoglycan glycosyltransferase
cgMLST V1 + HierCC V1	CD630_12420(-)	putative membrane protein
cgMLST V1 + HierCC V1	CD630_12430(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_12440(-)	cleavage protein
cgMLST V1 + HierCC V1	CD630_12450(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_12460(efp)	elongation factor P
cgMLST V1 + HierCC V1	CD630_12470(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_12480(rnc)	ribonuclease III
cgMLST V1 + HierCC V1	CD630_12490(-)	radical SAM protein
cgMLST V1 + HierCC V1	CD630_12500(smc)	chromosome segregation protein SMC
cgMLST V1 + HierCC V1	CD630_12510(ftsY)	signal recognition particle-docking protein FtsY
cgMLST V1 + HierCC V1	CD630_12511(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_12520(ffh)	signal recognition particle protein
cgMLST V1 + HierCC V1	CD630_12530(rpsP)	30S ribosomal protein S16
cgMLST V1 + HierCC V1	CD630_12540(-)	RNA-binding protein
cgMLST V1 + HierCC V1	CD630_12550(rimM)	ribosome maturation factor RimM
cgMLST V1 + HierCC V1	CD630_12560(trmD)	tRNA (guanosine(37)-N1)-methyltransferase TrmD
cgMLST V1 + HierCC V1	CD630_12570(rplS)	50S ribosomal protein L19
cgMLST V1 + HierCC V1	CD630_12580(rbgA)	ribosome biogenesis GTPase YlqF
cgMLST V1 + HierCC V1	CD630_12590(brnQ-1)	branched-chain amino acid transporter
cgMLST V1 + HierCC V1	CD630_12600(brnQ-2)	branched-chain amino acid transporter
cgMLST V1 + HierCC V1	CD630_12610(nrdA)	ribonucleoside-diphosphate reductase adenosylcobalamin-dependent
cgMLST V1 + HierCC V1	CD630_12620(rnhB)	ribonuclease HII
cgMLST V1 + HierCC V1	CD630_12630(-)	alpha-hydroxy-acid oxidizing enzyme
cgMLST V1 + HierCC V1	CD630_12640(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_12650(carD)	CarD family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_12660(-)	ABC transporter permease
cgMLST V1 + HierCC V1	CD630_12670(-)	ABC-2 type transporter family protein
cgMLST V1 + HierCC V1	CD630_12680(-)	ABC transporter family protein
cgMLST V1 + HierCC V1	CD630_12700(-)	two-component sensor histidine kinase
cgMLST V1 + HierCC V1	CD630_12710(yraN)	nuclease-related domain protein
cgMLST V1 + HierCC V1	CD630_12720(comM)	sigma-54 interaction domain protein
cgMLST V1 + HierCC V1	CD630_12730(smf)	DNA processing protein DprA
cgMLST V1 + HierCC V1	CD630_12740(topA)	DNA topoisomerase I
cgMLST V1 + HierCC V1	CD630_12750(codY)	transcriptional repressor CodY
cgMLST V1 + HierCC V1	CD630_12760(rarA)	"ATPase, AAA family"
cgMLST V1 + HierCC V1	CD630_12770(-)	acetyltransferase
cgMLST V1 + HierCC V1	CD630_12780(iscR)	Rrf2 family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_12790(iscS2)	cysteine desulfurase NifS
cgMLST V1 + HierCC V1	CD630_12800(iscU)	iron-sulfur cluster assembly scaffold protein
cgMLST V1 + HierCC V1	CD630_12810(mnmA)	tRNA 2-thiouridine(34) synthase MnmA
cgMLST V1 + HierCC V1	CD630_12830(-)	uPF0297 protein EUBVEN_00251
cgMLST V1 + HierCC V1	CD630_12840(-)	putative membrane protein
cgMLST V1 + HierCC V1	CD630_12850(ruvX)	crossover junction endodeoxyribonuclease RuvA
cgMLST V1 + HierCC V1	CD630_12860(-)	UPF0473 protein
cgMLST V1 + HierCC V1	CD630_12870(fur)	transcriptional repressor
cgMLST V1 + HierCC V1	CD630_12880(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_12890(rnj)	ribonuclease J
cgMLST V1 + HierCC V1	CD630_12900(-)	small acid-soluble spore protein
cgMLST V1 + HierCC V1	CD630_12910(dacF)	D-alanyl-D-alanine carboxypeptidase
cgMLST V1 + HierCC V1	CD630_12920(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_12930(-)	AraC family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_12940(-)	peptidase M25
cgMLST V1 + HierCC V1	CD630_12960(scpB)	SMC-Scp complex subunit ScpB
cgMLST V1 + HierCC V1	CD630_12980(-)	sporulation protein YtfJ
cgMLST V1 + HierCC V1	CD630_12990(-)	MarR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_13000(pepA)	leucyl aminopeptidase
cgMLST V1 + HierCC V1	CD630_13010(-)	integral membrane family protein
cgMLST V1 + HierCC V1	CD630_13011(-)	"ABC-type transport system,ATP-binding protein"
cgMLST V1 + HierCC V1	CD630_13020(-)	MazG nucleotide pyrophosphohydrolase
cgMLST V1 + HierCC V1	CD630_13030(npdA)	NAD-dependent protein deacylase
cgMLST V1 + HierCC V1	CD630_13040(acd)	mannosyl-glycoendo-beta-N-acetylglucosaminidase
cgMLST V1 + HierCC V1	CD630_13050(dnaF)	"DNA polymerase III, alpha subunit, Gram-positive type"
cgMLST V1 + HierCC V1	CD630_13060(rimP)	ribosome maturation factor
cgMLST V1 + HierCC V1	CD630_13070(nusA)	transcription termination/antitermination protein NusA
cgMLST V1 + HierCC V1	CD630_13071(ylxR)	nucleic acid-binding protein
cgMLST V1 + HierCC V1	CD630_13080(-)	50S ribosomal protein L7ae
cgMLST V1 + HierCC V1	CD630_13090(infB)	translation initiation factor IF-2
cgMLST V1 + HierCC V1	CD630_13100(rbfA)	ribosome-binding factor A
cgMLST V1 + HierCC V1	CD630_13140(truB)	tRNA pseudouridine synthase B
cgMLST V1 + HierCC V1	CD630_13150(ribC)	riboflavin biosynthesis protein RibC
cgMLST V1 + HierCC V1	CD630_13151(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_13160(rpsO)	30S ribosomal protein S15
cgMLST V1 + HierCC V1	CD630_13170(-)	6-phosphogluconate dehydratase
cgMLST V1 + HierCC V1	CD630_13180(pnp)	polyribonucleotide nucleotidyltransferase
cgMLST V1 + HierCC V1	CD630_13190(-)	polysaccharide deacetylase
cgMLST V1 + HierCC V1	CD630_13200(-)	zinc protease
cgMLST V1 + HierCC V1	CD630_13210(-)	sporulation protein YlmC/YmxH
cgMLST V1 + HierCC V1	CD630_13220(dapG)	aspartate kinase
cgMLST V1 + HierCC V1	CD630_13240(ftsK)	cell division protein FtsK
cgMLST V1 + HierCC V1	CD630_13250(selU)	tRNA 2-selenouridine(34) synthase MnmH
cgMLST V1 + HierCC V1	CD630_13260(rimO)	ribosomal protein S12 methylthiotransferase RimO
cgMLST V1 + HierCC V1	CD630_13270(pgsA)	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
cgMLST V1 + HierCC V1	CD630_13280(recA)	DNA recombination/repair protein RecA
cgMLST V1 + HierCC V1	CD630_13290(rny)	ribonuclease Y
cgMLST V1 + HierCC V1	CD630_13300(-)	DNA helicase
cgMLST V1 + HierCC V1	CD630_13310(sip3)	signal peptidase I
cgMLST V1 + HierCC V1	CD630_13320(uppP1)	undecaprenyl-diphosphatase
cgMLST V1 + HierCC V1	CD630_13330(xerD)	phage integrase
cgMLST V1 + HierCC V1	CD630_13340(purB)	adenylosuccinate lyase
cgMLST V1 + HierCC V1	CD630_13350(-)	MarR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_13390(aspB)	aspartate aminotransferase
cgMLST V1 + HierCC V1	CD630_13400(galT)	galactose-1-phosphate uridylyltransferase
cgMLST V1 + HierCC V1	CD630_13410(exoA)	exodeoxyribonuclease III
cgMLST V1 + HierCC V1	CD630_13420(-)	exonuclease
cgMLST V1 + HierCC V1	CD630_13430(glnA)	glutamine synthetase catalytic domain protein
cgMLST V1 + HierCC V1	CD630_13440(ugtP)	galactosyldiacylglycerol synthase
cgMLST V1 + HierCC V1	CD630_13450(padR)	PadR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_13460(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_13470(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_13480(-)	lipoprotein
cgMLST V1 + HierCC V1	CD630_13490(nisF)	lantibiotic ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_13500(nisE)	lantibiotic ABC transporter permease
cgMLST V1 + HierCC V1	CD630_13510(nisG)	lantibiotic ABC transporter permease
cgMLST V1 + HierCC V1	CD630_13520(nisK)	two-component sensor histidine kinase
cgMLST V1 + HierCC V1	CD630_13530(pdxK)	pyridoxine kinase
cgMLST V1 + HierCC V1	CD630_13540(-)	amidase
cgMLST V1 + HierCC V1	CD630_13550(cspB)	cold-shock protein
cgMLST V1 + HierCC V1	CD630_13560(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_13570(ppiC)	peptidylprolyl isomerase
cgMLST V1 + HierCC V1	CD630_13580(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_13590(-)	putative Zn peptidase
cgMLST V1 + HierCC V1	CD630_13600(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_13610(-)	phage protein
cgMLST V1 + HierCC V1	CD630_13620(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_13630(-)	phage tail sheath family protein
cgMLST V1 + HierCC V1	CD630_13640(-)	phage portal protein
cgMLST V1 + HierCC V1	CD630_13650(-)	phage portal protein
cgMLST V1 + HierCC V1	CD630_13651(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_13660(-)	Putative phage tail protein
cgMLST V1 + HierCC V1	CD630_13670(-)	putative phage protein
cgMLST V1 + HierCC V1	CD630_13700(-)	phage protein
cgMLST V1 + HierCC V1	CD630_13770(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_13780(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_13781(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_13782(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_13790(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_13800(-)	"putative ATP synthase F0, A subunit"
cgMLST V1 + HierCC V1	CD630_13810(-)	TetR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_13820(glpK2)	Glycerol kinase 1 (ATP:glycerol 3-phosphotransferase 1) (Glycerokinase 1) (GK 1)
cgMLST V1 + HierCC V1	CD630_13830(-)	GntR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_13840(-)	LamB/YcsF family protein
cgMLST V1 + HierCC V1	CD630_13850(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_13860(kipI)	allophanate hydrolase
cgMLST V1 + HierCC V1	CD630_13870(kipA)	allophanate hydrolase
cgMLST V1 + HierCC V1	CD630_13890(ycjG)	dipeptide epimerase
cgMLST V1 + HierCC V1	CD630_13900(-)	"beta-carotene 15,15'-monooxygenase"
cgMLST V1 + HierCC V1	CD630_13910(-)	hydrolase CocE/NonD family
cgMLST V1 + HierCC V1	CD630_13920(-)	"endoribonuclease,Enamine/imine deaminase,putative endoribonuclease L-PSP,putative endoribonuclease L-PSP,Endoribonuclease L-PSP"
cgMLST V1 + HierCC V1	CD630_13930(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_13940(-)	oxidoreductase
cgMLST V1 + HierCC V1	CD630_13950(-)	regulatory YrvL family protein
cgMLST V1 + HierCC V1	CD630_13960(dppA1)	putative amino acid amidase
cgMLST V1 + HierCC V1	CD630_13970(-)	methyltransferase
cgMLST V1 + HierCC V1	CD630_13980(-)	putative peptidase
cgMLST V1 + HierCC V1	CD630_13990(ldcA)	muramoyltetrapeptide carboxypeptidase
cgMLST V1 + HierCC V1	CD630_14000(-)	"toxin-antitoxin system toxin component, PIN family protein"
cgMLST V1 + HierCC V1	CD630_14010(-)	isochorismatase
cgMLST V1 + HierCC V1	CD630_14020(glpQ)	glycerophosphoryl diester phosphodiesterase
cgMLST V1 + HierCC V1	CD630_14030(licA)	peptide synthetase
cgMLST V1 + HierCC V1	CD630_14040(-)	oligopeptide transporter OPT family
cgMLST V1 + HierCC V1	CD630_14041(-)	coenzyme PQQ synthesis D family protein
cgMLST V1 + HierCC V1	CD630_14060(-)	D-alanyl-D-alanine carboxypeptidase
cgMLST V1 + HierCC V1	CD630_14070(-)	GntR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_14080(ddl)	D-alanine--D-alanine ligase
cgMLST V1 + HierCC V1	CD630_14090(pncC)	damage-inducible protein CinA
cgMLST V1 + HierCC V1	CD630_14100(-)	haloacid dehalogenase
cgMLST V1 + HierCC V1	CD630_14110(-)	zinc dependent phospholipase C family protein
cgMLST V1 + HierCC V1	CD630_14120(-)	AAA family ATPase
cgMLST V1 + HierCC V1	CD630_14130(-)	eamA-like transporter family protein
cgMLST V1 + HierCC V1	CD630_14140(-)	"Putative oxidoreductase, Fe-S subunit"
cgMLST V1 + HierCC V1	CD630_14150(-)	putative membrane protein
cgMLST V1 + HierCC V1	CD630_14160(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_14170(-)	ATP-binding protein
cgMLST V1 + HierCC V1	CD630_14180(-)	multidrug transporter MatE
cgMLST V1 + HierCC V1	CD630_14190(-)	diguanylate cyclase
cgMLST V1 + HierCC V1	CD630_14220(-)	MerR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_14250(mgtC)	methyltransferase
cgMLST V1 + HierCC V1	CD630_14290(-)	acyl-CoA N-acyltransferase
cgMLST V1 + HierCC V1	CD630_14300(pdaA)	delta-lactam-biosynthetic de-N-acetylase
cgMLST V1 + HierCC V1	CD630_14320(rnhA)	RNase H
cgMLST V1 + HierCC V1	CD630_14330(-)	bifunctional peroxiredoxin/chitinase
cgMLST V1 + HierCC V1	CD630_14340(-)	putative membrane protein
cgMLST V1 + HierCC V1	CD630_14350(-)	UbiD family decarboxylase
cgMLST V1 + HierCC V1	CD630_14360(-)	hydrolase
cgMLST V1 + HierCC V1	CD630_14380(-)	TPR repeat family protein
cgMLST V1 + HierCC V1	CD630_14390(cidA)	lrgA family protein
cgMLST V1 + HierCC V1	CD630_14400(lrgB)	lrgB-like family protein
cgMLST V1 + HierCC V1	CD630_14410(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_14420(-)	MORN repeat family protein
cgMLST V1 + HierCC V1	CD630_14430(-)	peptidase
cgMLST V1 + HierCC V1	CD630_14440(-)	polysaccharide deacetylase
cgMLST V1 + HierCC V1	CD630_14450(pabA)	glutamine amidotransferase
cgMLST V1 + HierCC V1	CD630_14460(pabB)	para-aminobenzoate synthase
cgMLST V1 + HierCC V1	CD630_14470(pabC)	aminodeoxychorismate lyase
cgMLST V1 + HierCC V1	CD630_14480(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_14490(folE)	GTP cyclohydrolase I FolE
cgMLST V1 + HierCC V1	CD630_14500(folP)	dihydropteroate synthase
cgMLST V1 + HierCC V1	CD630_14510(folB)	dihydroneopterin aldolase
cgMLST V1 + HierCC V1	CD630_14520(folK)	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
cgMLST V1 + HierCC V1	CD630_14530(aroF)	phospho-2-dehydro-3-deoxyheptonate aldolase
cgMLST V1 + HierCC V1	CD630_14540(dnaG)	DNA primase
cgMLST V1 + HierCC V1	CD630_14550(sigA1)	RNA polymerase sigma factor RpoD
cgMLST V1 + HierCC V1	CD630_14560(trmK)	SAM-dependent methyltransferase
cgMLST V1 + HierCC V1	CD630_14570(-)	NGG1p interacting factor NIF3
cgMLST V1 + HierCC V1	CD630_14580(wrbA)	FMN reductase
cgMLST V1 + HierCC V1	CD630_14590(-)	MFS transporter
cgMLST V1 + HierCC V1	CD630_14600(-)	phosphohydrolase
cgMLST V1 + HierCC V1	CD630_14620(ytrA)	GntR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_14630(-)	putative membrane protein
cgMLST V1 + HierCC V1	CD630_14640(vicR)	DNA-binding response regulator
cgMLST V1 + HierCC V1	CD630_14650(-)	two-component sensor histidine kinase
cgMLST V1 + HierCC V1	CD630_14660(-)	ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_14670(-)	ABC transporter permease
cgMLST V1 + HierCC V1	CD630_14680(-)	(Fe-S)-binding protein
cgMLST V1 + HierCC V1	CD630_14700(-)	rhodanese-like domain-containing protein
cgMLST V1 + HierCC V1	CD630_14710(yhgE)	putative membrane protein (putative phage infection protein)
cgMLST V1 + HierCC V1	CD630_14720(-)	ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_14730(-)	multidrug ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_14750(-)	hydrolase
cgMLST V1 + HierCC V1	CD630_14770(feoA)	feoA domain protein
cgMLST V1 + HierCC V1	CD630_14780(feoA)	iron transporter FeoA
cgMLST V1 + HierCC V1	CD630_14790(feoB1)	ferrous iron transporter B
cgMLST V1 + HierCC V1	CD630_14800(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_14810(-)	mitochondria biogenesis AIM24 family protein
cgMLST V1 + HierCC V1	CD630_14820(ssuC)	ABC transporter permease
cgMLST V1 + HierCC V1	CD630_14830(ssuB)	ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_14840(ssuA)	ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_14850(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_14860(-)	Putative ribosome recycling factor
cgMLST V1 + HierCC V1	CD630_14890(metN)	ABC transporter family protein
cgMLST V1 + HierCC V1	CD630_14900(metI)	methionine ABC transporter permease
cgMLST V1 + HierCC V1	CD630_14910(metQ)	methionine ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_14920(vicK)	two-component sensor histidine kinase
cgMLST V1 + HierCC V1	CD630_14930(-)	DNA-3-methyladenine glycosylase
cgMLST V1 + HierCC V1	CD630_14940(-)	DNA-binding protein
cgMLST V1 + HierCC V1	CD630_14950(proC)	pyrroline-5-carboxylate reductase
cgMLST V1 + HierCC V1	CD630_14960(-)	signal peptide protein
cgMLST V1 + HierCC V1	CD630_14970(-)	type I restriction enzyme R family protein
cgMLST V1 + HierCC V1	CD630_14980(sigA2)	RNA polymerase sigma factor RpoD
cgMLST V1 + HierCC V1	CD630_15020(deoC)	2-deoxyribose-5-phosphate aldolase
cgMLST V1 + HierCC V1	CD630_15030(-)	GntR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_15040(-)	multidrug ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_15050(-)	ABC transporter permease
cgMLST V1 + HierCC V1	CD630_15060(-)	MATE efflux family protein
cgMLST V1 + HierCC V1	CD630_15100(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_15110(-)	Spore outer coat layer protein CotB
cgMLST V1 + HierCC V1	CD630_15111(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_15120(panC)	pantoate--beta-alanine ligase
cgMLST V1 + HierCC V1	CD630_15130(panB)	3-methyl-2-oxobutanoate hydroxymethyltransferase
cgMLST V1 + HierCC V1	CD630_15140(-)	6-phosphogluconate dehydrogenase
cgMLST V1 + HierCC V1	CD630_15150(-)	diguanylate cyclase
cgMLST V1 + HierCC V1	CD630_15160(-)	MerR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_15170(feoB)	ferrous iron transporter B
cgMLST V1 + HierCC V1	CD630_15180(feoA)	iron transporter FeoA
cgMLST V1 + HierCC V1	CD630_15190(elaA)	GNAT family acetyltransferase
cgMLST V1 + HierCC V1	CD630_15200(-)	putative membrane protein
cgMLST V1 + HierCC V1	CD630_15210(tyrS)	tyrosine--tRNA ligase
cgMLST V1 + HierCC V1	CD630_15220(-)	polysaccharide deacetylase
